ID,group,Age,Sex,ethnicity,occupation,income,education,envAttitude_pre,envSelfEfficacy_pre,envMotivation_pre,envAttitude_post,envSelfEfficacy_post,envMotivation_post,nudge_acceptance_post,nudge_reactance_post,nudge_fatigue_post,eco_choices_day1,eco_choices_day2,eco_choices_day3,eco_choices_day4,eco_choices_day5,eco_choices_day6,eco_choices_day7,eco_choices_day8,eco_choices_day9,eco_choices_day10,eco_choices_day11,eco_choices_day12,eco_choices_day13,eco_choices_day14,daily_donation_cents_day1,daily_donation_cents_day2,daily_donation_cents_day3,daily_donation_cents_day4,daily_donation_cents_day5,daily_donation_cents_day6,daily_donation_cents_day7,daily_donation_cents_day8,daily_donation_cents_day9,daily_donation_cents_day10,daily_donation_cents_day11,daily_donation_cents_day12,daily_donation_cents_day13,daily_donation_cents_day14,n_trials_day1,n_trials_day2,n_trials_day3,n_trials_day4,n_trials_day5,n_trials_day6,n_trials_day7,n_trials_day8,n_trials_day9,n_trials_day10,n_trials_day11,n_trials_day12,n_trials_day13,n_trials_day14,eco_share_day1,eco_share_day2,eco_share_day3,eco_share_day4,eco_share_day5,eco_share_day6,eco_share_day7,eco_share_day8,eco_share_day9,eco_share_day10,eco_share_day11,eco_share_day12,eco_share_day13,eco_share_day14,information_nudge_rt_ms_day1,information_nudge_rt_ms_day2,information_nudge_rt_ms_day3,information_nudge_rt_ms_day4,information_nudge_rt_ms_day5,information_nudge_rt_ms_day6,information_nudge_rt_ms_day7,information_nudge_rt_ms_day8,information_nudge_rt_ms_day9,information_nudge_rt_ms_day10,information_nudge_rt_ms_day11,information_nudge_rt_ms_day12,information_nudge_rt_ms_day13,information_nudge_rt_ms_day14,assistant_commitment_rt_ms_day1,assistant_commitment_rt_ms_day2,assistant_commitment_rt_ms_day3,assistant_commitment_rt_ms_day4,assistant_commitment_rt_ms_day5,assistant_commitment_rt_ms_day6,assistant_commitment_rt_ms_day7,assistant_commitment_rt_ms_day8,assistant_commitment_rt_ms_day9,assistant_commitment_rt_ms_day10,assistant_commitment_rt_ms_day11,assistant_commitment_rt_ms_day12,assistant_commitment_rt_ms_day13,assistant_commitment_rt_ms_day14
LGDEqLqz,assistant_low,34,Male,White,Government/Public sector,">60,000",Bachelor,4.267,5,12,NA,NA,NA,NA,NA,NA,3,NA,3,3,3,3,3,3,3,3,2,2,2,3,6,NA,7,3,7,2,9,6,6,8,7,9,8,7,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,1,NA,1,1,1,1,1,1,1,1,0.666666666666667,0.666666666666667,0.666666666666667,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rSKVcIfD,assistant_low,59,Female,White,Government/Public sector,"30,001-40,000",Senior high,3.267,5,12,NA,NA,NA,NA,NA,NA,2,0,0,0,NA,0,0,0,0,NA,0,NA,1,0,2,0,0,0,NA,0,0,0,0,NA,0,NA,3,0,3,3,3,3,NA,3,3,3,3,NA,3,NA,3,3,0.666666666666667,0,0,0,NA,0,0,0,0,NA,0,NA,0.333333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SvEoREqm,assistant_medium,55,Male,White,Private sector,"30,001-40,000",Senior high,4.8,5,8,4.26666666666667,5,5.5,7,1,6,3,1,3,2,3,1,3,2,3,1,3,1,3,1,3,2,3,5,3,2,4,0,3,0,4,0,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0.333333333333333,1,0.666666666666667,1,0.333333333333333,1,0.666666666666667,1,0.333333333333333,1,0.333333333333333,1,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4782,NA,NA,15068,NA,NA,4731,NA,NA,5151,NA,NA,1246,NA
JdBtbrHE,control,44,Female,Asian,Self-employed/Freelancer,"10,001-20,000",Master,4.133,4,5,NA,NA,NA,NA,NA,NA,1,NA,2,2,2,2,2,2,2,2,2,2,2,2,4,NA,8,2,6,4,8,4,10,5,10,3,9,4,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,0.333333333333333,NA,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUjzmVef,structure_high,39,Male,Mixed,Private sector,"40,001-60,000",Bachelor,2.933,4,5.5,NA,NA,NA,NA,NA,NA,0,2,0,NA,0,NA,0,NA,NA,0,0,NA,1,NA,0,5,0,NA,0,NA,0,NA,NA,0,0,NA,0,NA,3,3,3,NA,3,NA,3,NA,NA,3,3,NA,3,NA,0,0.666666666666667,0,NA,0,NA,0,NA,NA,0,0,NA,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mpZNqRbe,structure_medium,36,Male,White,Government/Public sector,"40,001-60,000",Bachelor,3.267,4,4,NA,NA,NA,NA,NA,NA,2,0,NA,0,NA,1,2,3,3,3,NA,3,NA,NA,4,0,NA,0,NA,2,6,10,11,9,NA,11,NA,NA,3,3,NA,3,NA,3,3,3,3,3,NA,3,NA,NA,0.666666666666667,0,NA,0,NA,0.333333333333333,0.666666666666667,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CqIJaxGl,information_low,23,Female,White,Private sector,"20,001-30,000",Master,3.867,4,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,0,0,0,NA,0,2,0,0,0,0,0,0,0,NA,0,0,0,NA,0,3,3,3,3,3,3,3,3,NA,3,3,3,NA,3,0.333333333333333,0,0,0,0,0,0,0,NA,0,0,0,NA,0,7407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SoCJudlw,structure_medium,40,Male,White,Self-employed/Freelancer,"10,001-20,000",Bachelor,3.667,5,3,3.6,4,5,5,4,2,1,1,1,3,0,2,2,2,0,3,2,2,1,2,0,2,2,6,0,4,6,4,0,6,4,4,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0.666666666666667,0.666666666666667,0.666666666666667,0,1,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DjxCNOGM,assistant_high,52,Male,White,Self-employed/Freelancer,">60,000",Master,4.267,4,2,4.46666666666667,4,5,2,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20273,8145,3896,3544,3598,8284,5103,3756,3611,5379,1614,4033,3703,3961
xBIsmDnn,control,59,Female,White,Private sector,"40,001-60,000",College diploma,3.4,4,4,NA,NA,NA,NA,NA,NA,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,2,0,0,0,0,0,0,0,0,0,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,0,0,NA,0,0.333333333333333,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kOhJeUta,structure_high,41,Male,White,Private sector,"40,001-60,000",Master,4.067,5,4.5,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,1,3,NA,2,1,3,8,2,3,5,2,4,3,5,4,4,NA,4,0,5,3,3,3,3,3,3,3,3,3,3,NA,3,3,3,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,1,NA,0.666666666666667,0.333333333333333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PvDFVJll,information_high,26,Male,White,Student,"40,001-60,000",Master,3.067,4,4,3.46666666666667,4,6.5,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,29372,9281,8256,3362,2869,2458,3990,2824,3944,5031,2678,2498,2879,9431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARLNkmmK,assistant_high,38,Male,White,Private sector,"40,001-60,000",Bachelor,4.267,4,6.5,4.6,4,3,4,7,6,2,0,0,0,2,0,0,0,2,0,3,0,0,0,2,0,0,0,9,0,0,0,8,0,9,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.666666666666667,0,0,0,0.666666666666667,0,0,0,0.666666666666667,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12620,5349,4269,3339,4192,3060,3115,3087,3604,2886,2604,2788,5150,3156
kxVlYgvQ,information_high,46,Male,White,Other,"10,001-20,000",Master,3.733,4,6.5,4.4,4,9,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,5,10,6,12,6,13,7,11,7,14,6,12,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36127,12332,9763,7179,4048,3287,5498,5416,6247,4824,5395,5277,4664,5785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ikSgGWTx,assistant_low,40,Female,White,Private sector,"40,001-60,000",Doctoral,4.067,5,4.5,4.13333333333333,5,11.5,4,1,3,3,0,2,0,1,0,1,0,1,0,1,1,0,0,4,0,5,0,5,0,5,0,5,0,4,5,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0.666666666666667,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WMWEOJjU,structure_medium,67,Male,White,Other,"20,001-30,000",College diploma,4.533,4,8.5,4.53333333333333,4,9,3,4,3,3,1,3,1,3,2,3,2,3,2,3,1,3,2,6,1,10,1,11,4,13,4,13,5,12,1,12,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0.333333333333333,1,0.333333333333333,1,0.666666666666667,1,0.666666666666667,1,0.666666666666667,1,0.333333333333333,1,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rVETXvxU,information_low,67,Male,White,Private sector,">60,000",Bachelor,4.333,4,8,4.4,4,9,4,4,3,0,3,0,2,0,3,0,3,0,3,0,2,0,3,0,2,0,2,0,3,0,3,0,3,0,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0.666666666666667,0,1,0,1,0,1,0,0.666666666666667,0,1,31829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
uRwGJbZq,assistant_medium,27,Male,White,Private sector,"20,001-30,000",Master,3.667,3,2,3.53333333333333,3,6,5,3,4,3,3,1,2,3,3,2,3,2,3,3,1,3,2,5,6,2,7,7,9,4,11,6,11,12,5,11,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,0.333333333333333,0.666666666666667,1,1,0.666666666666667,1,0.666666666666667,1,1,0.333333333333333,1,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17157,NA,NA,8781,NA,NA,11016,NA,NA,6839,NA,NA,12428,NA
tKDnYPsN,assistant_medium,45,Male,White,Private sector,"40,001-60,000",Master,3.933,4,6.5,4.06666666666667,4,5.5,4,2,1,3,1,3,3,2,0,2,0,2,0,2,2,0,2,8,0,8,6,6,0,9,0,9,0,8,6,0,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0.333333333333333,1,1,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18542,NA,NA,21517,NA,NA,13832,NA,NA,12026,NA,NA,5278,NA
qmkOgIfT,assistant_high,48,Male,Other,Private sector,"20,001-30,000",Bachelor,3.8,5,8.5,3.66666666666667,5,7.5,7,2,2,2,1,3,1,3,0,3,0,3,0,3,0,3,0,2,1,3,1,3,0,3,0,2,0,3,0,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.666666666666667,0.333333333333333,1,0.333333333333333,1,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,8525,19135,2029,2819,3103,2239,2412,1953,2728,1979,2707,2492,1993
pXSXMTmN,structure_high,36,Male,White,Private sector,"10,001-20,000",Bachelor,3.2,2,1,3.26666666666667,2,-0.5,3,6,6,1,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,6,6,10,6,8,5,7,6,10,9,11,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.333333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XxSjQpwF,control,54,Female,White,Government/Public sector,"30,001-40,000",College diploma,3.933,5,3,4.06666666666667,4,7,NA,NA,NA,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,2,0,0,2,0,4,0,0,0,4,2,5,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BpZDJREx,control,59,Female,White,Government/Public sector,">60,000",Master,3.933,5,3.5,3.66666666666667,5,6,NA,NA,NA,3,2,2,2,2,2,2,2,2,2,2,2,2,2,6,1,2,3,3,3,5,3,6,3,4,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TDevMzXJ,structure_medium,64,Female,White,Private sector,"40,001-60,000",Bachelor,3.067,2,-2,2.73333333333333,2,-4.5,2,5,5,1,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,4,0,0,3,0,0,6,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.333333333333333,0,0,0,0,0,1,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yuaWqjkq,information_medium,36,Female,White,Government/Public sector,"10,001-20,000",Bachelor,2.867,4,-2,3.13333333333333,3,4,4,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0.333333333333333,42989,NA,NA,16112,NA,NA,18214,NA,NA,9639,NA,NA,8958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EgAPIVJX,structure_high,54,Male,White,Private sector,"20,001-30,000",Bachelor,4.2,3,2,3.86666666666667,3,3,5,5,5,1,1,3,1,3,1,3,1,3,1,3,1,3,0,0,0,1,0,5,0,7,0,9,0,6,0,7,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.333333333333333,0.333333333333333,1,0.333333333333333,1,0.333333333333333,1,0.333333333333333,1,0.333333333333333,1,0.333333333333333,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lcOFMPJS,assistant_high,34,Male,Mixed,Private sector,"20,001-30,000",Master,4.133,4,0.5,NA,NA,NA,NA,NA,NA,3,0,3,3,0,3,0,0,NA,2,0,0,3,NA,4,0,2,2,0,4,0,0,NA,3,0,0,3,NA,3,3,3,3,3,3,3,3,NA,3,3,3,3,NA,1,0,1,1,0,1,0,0,NA,0.666666666666667,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17647,109308,13399,2107,2250,2598,2465,1321,NA,4906,1680,4063,5796,NA
SrkfAOBW,information_medium,25,Female,Asian,Other,NA,Bachelor,3.867,3,4.5,4.26666666666667,4,4,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,12260,NA,NA,7041,NA,NA,2114,NA,NA,1587,NA,NA,1508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LwTBOeJB,assistant_medium,31,Female,White,Private sector,"30,001-40,000",Master,3.333,4,5,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,3,3,3,3,3,3,3,3,3,3,3,NA,NA,3,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,8733,NA,NA,14229,NA,NA,7608,NA,NA,NA,NA
lmmbOLvL,control,46,Female,White,Self-employed/Freelancer,"30,001-40,000",Master,3.933,4,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,1,1,2,0,1,0,NA,0,0,NA,0,0,0,0,4,4,9,0,4,3,NA,3,3,NA,3,3,3,3,3,3,3,3,3,0,NA,0,0,NA,0,0,0,0,0.333333333333333,0.333333333333333,0.666666666666667,0,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
